fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.4;0.7;0;1.9;0.08;11;34;1;3.51;0.56;9.4;5
7.8;0.88;0;2.6;0.1;25;67;1;3.2;0.68;9.8;5
7.8;0.76;0.04;2.3;0.09;15;54;1;3.26;0.65;9.8;5
11.2;0.28;0.56;1.9;0.08;17;60;1;3.16;0.58;9.8;6
7.4;0.7;0;1.9;0.08;11;34;1;3.51;0.56;9.4;5
7.4;0.66;0;1.8;0.08;13;40;1;3.51;0.56;9.4;5
7.9;0.6;0.06;1.6;0.07;15;59;1;3.3;0.46;9.4;5
7.3;0.65;0;1.2;0.07;15;21;0.99;3.39;0.47;10;7
7.8;0.58;0.02;2;0.07;9;18;1;3.36;0.57;9.5;7
7.5;0.5;0.36;6.1;0.07;17;102;1;3.35;0.8;10.5;5
6.7;0.58;0.08;1.8;0.1;15;65;1;3.28;0.54;9.2;5
7.5;0.5;0.36;6.1;0.07;17;102;1;3.35;0.8;10.5;5
5.6;0.62;0;1.6;0.09;16;59;0.99;3.58;0.52;9.9;5
7.8;0.61;0.29;1.6;0.11;9;29;1;3.26;1.56;9.1;5
8.9;0.62;0.18;3.8;0.18;52;145;1;3.16;0.88;9.2;5
8.9;0.62;0.19;3.9;0.17;51;148;1;3.17;0.93;9.2;5
8.5;0.28;0.56;1.8;0.09;35;103;1;3.3;0.75;10.5;7
8.1;0.56;0.28;1.7;0.37;16;56;1;3.11;1.28;9.3;5
7.4;0.59;0.08;4.4;0.09;6;29;1;3.38;0.5;9;4
7.9;0.32;0.51;1.8;0.34;17;56;1;3.04;1.08;9.2;6
8.9;0.22;0.48;1.8;0.08;29;60;1;3.39;0.53;9.4;6
7.6;0.39;0.31;2.3;0.08;23;71;1;3.52;0.65;9.7;5
7.9;0.43;0.21;1.6;0.11;10;37;1;3.17;0.91;9.5;5
8.5;0.49;0.11;2.3;0.08;9;67;1;3.17;0.53;9.4;5
6.9;0.4;0.14;2.4;0.09;21;40;1;3.43;0.63;9.7;6
6.3;0.39;0.16;1.4;0.08;11;23;1;3.34;0.56;9.3;5
7.6;0.41;0.24;1.8;0.08;4;11;1;3.28;0.59;9.5;5
7.9;0.43;0.21;1.6;0.11;10;37;1;3.17;0.91;9.5;5
7.1;0.71;0;1.9;0.08;14;35;1;3.47;0.55;9.4;5
7.8;0.65;0;2;0.08;8;16;1;3.38;0.59;9.8;6
6.7;0.68;0.07;2.4;0.09;17;82;1;3.35;0.54;10.1;5
6.9;0.69;0;2.5;0.11;22;37;1;3.46;0.57;10.6;6
8.3;0.66;0.12;2.3;0.08;15;113;1;3.17;0.66;9.8;5
6.9;0.61;0.12;10.7;0.07;40;83;1;3.45;0.52;9.4;6
5.2;0.32;0.25;1.8;0.1;13;50;1;3.38;0.55;9.2;5
7.8;0.65;0;5.5;0.09;5;18;1;3.4;0.55;9.6;6
7.8;0.6;0.14;2.4;0.09;3;15;1;3.42;0.6;10.8;6
8.1;0.38;0.28;2.1;0.07;13;30;1;3.23;0.73;9.7;7
5.7;1.13;0.09;1.5;0.17;7;19;0.99;3.5;0.48;9.8;4
7.3;0.45;0.36;5.9;0.07;12;87;1;3.33;0.83;10.5;5
7.3;0.45;0.36;5.9;0.07;12;87;1;3.33;0.83;10.5;5
8.8;0.61;0.3;2.8;0.09;17;46;1;3.26;0.51;9.3;4
7.5;0.49;0.2;2.6;0.33;8;14;1;3.21;0.9;10.5;6
8.1;0.66;0.22;2.2;0.07;9;23;1;3.3;1.2;10.3;5
6.8;0.67;0.02;1.8;0.05;5;11;1;3.48;0.52;9.5;5
4.6;0.52;0.15;2.1;0.05;8;65;0.99;3.9;0.56;13.1;4
7.7;0.94;0.43;2.2;0.11;22;114;1;3.25;0.73;9.2;5
8.7;0.29;0.52;1.6;0.11;12;37;1;3.25;0.58;9.5;5
6.4;0.4;0.23;1.6;0.07;5;12;1;3.34;0.56;9.2;5
5.6;0.31;0.37;1.4;0.07;12;96;1;3.32;0.58;9.2;5
8.8;0.66;0.26;1.7;0.07;4;23;1;3.15;0.74;9.2;5
6.6;0.52;0.04;2.2;0.07;8;15;1;3.4;0.63;9.4;6
6.6;0.5;0.04;2.1;0.07;6;14;1;3.39;0.64;9.4;6
8.6;0.38;0.36;3;0.08;30;119;1;3.2;0.56;9.4;5
7.6;0.51;0.15;2.8;0.11;33;73;1;3.17;0.63;10.2;6
7.7;0.62;0.04;3.8;0.08;25;45;1;3.34;0.53;9.5;5
10.2;0.42;0.57;3.4;0.07;4;10;1;3.04;0.63;9.6;5
7.5;0.63;0.12;5.1;0.11;50;110;1;3.26;0.77;9.4;5
7.8;0.59;0.18;2.3;0.08;17;54;1;3.43;0.59;10;5
7.3;0.39;0.31;2.4;0.07;9;46;1;3.41;0.54;9.4;6
8.8;0.4;0.4;2.2;0.08;19;52;1;3.44;0.64;9.2;5
7.7;0.69;0.49;1.8;0.12;20;112;1;3.21;0.71;9.3;5
7.5;0.52;0.16;1.9;0.09;12;35;1;3.38;0.62;9.5;7
7;0.74;0.05;2;0.08;13;54;1;3.39;0.57;9.8;5
7.2;0.73;0.05;4.65;0.09;4;11;1;3.41;0.39;10.9;5
7.2;0.73;0.05;4.65;0.09;4;11;1;3.41;0.39;10.9;5
7.5;0.52;0.11;1.5;0.08;11;39;1;3.42;0.58;9.6;5
6.6;0.71;0.07;1.6;0.08;6;15;1;3.44;0.58;10.7;5
9.3;0.32;0.57;2;0.07;27;65;1;3.28;0.79;10.7;5
8;0.71;0.05;1.9;0.07;8;19;1;3.34;0.95;10.5;6
7.7;0.63;0.08;1.9;0.08;15;27;1;3.32;0.54;9.5;6
7.7;0.67;0.23;2.1;0.09;17;96;1;3.32;0.48;9.5;5
7.7;0.69;0.22;1.9;0.08;18;94;1;3.31;0.48;9.5;5
8.3;0.68;0.26;2.1;0.08;11;43;1;3.31;0.53;9.2;4
9.7;0.32;0.54;2.5;0.09;28;83;1;3.28;0.82;9.6;5
8.8;0.41;0.64;2.2;0.09;9;42;1;3.54;0.66;10.5;5
8.8;0.41;0.64;2.2;0.09;9;42;1;3.54;0.66;10.5;5
6.8;0.79;0;2.4;0.1;14;30;1;3.52;0.55;10.7;6
6.7;0.75;0.12;2;0.09;12;80;1;3.38;0.52;10.1;5
8.3;0.63;0.2;1.5;0.08;27;119;1;3.16;1.12;9.1;4
6.2;0.45;0.2;1.6;0.07;3;15;1;3.41;0.56;9.2;5
7.8;0.43;0.7;1.9;0.46;22;67;1;3.13;1.28;9.4;5
7.4;0.5;0.47;2;0.09;21;73;1;3.36;0.57;9.1;5
7.3;0.67;0.26;1.8;0.4;16;51;1;3.16;1.14;9.4;5
6.3;0.3;0.48;1.8;0.07;18;61;1;3.44;0.78;10.3;6
6.9;0.55;0.15;2.2;0.08;19;40;1;3.41;0.59;10.1;5
8.6;0.49;0.28;1.9;0.11;20;136;1;2.93;1.95;9.9;6
7.7;0.49;0.26;1.9;0.06;9;31;1;3.39;0.64;9.6;5
9.3;0.39;0.44;2.1;0.11;34;125;1;3.14;1.22;9.5;5
7;0.62;0.08;1.8;0.08;8;24;1;3.48;0.53;9;5
7.9;0.52;0.26;1.9;0.08;42;140;1;3.23;0.54;9.5;5
8.6;0.49;0.28;1.9;0.11;20;136;1;2.93;1.95;9.9;6
8.6;0.49;0.29;2;0.11;19;133;1;2.93;1.98;9.8;5
7.7;0.49;0.26;1.9;0.06;9;31;1;3.39;0.64;9.6;5
5;1.02;0.04;1.4;0.05;41;85;0.99;3.75;0.48;10.5;4
4.7;0.6;0.17;2.3;0.06;17;106;0.99;3.85;0.6;12.9;6
6.8;0.78;0;3;0.1;8;23;1;3.45;0.56;10.7;5
7;0.5;0.25;2;0.07;3;22;1;3.25;0.63;9.2;5
7.6;0.9;0.06;2.5;0.08;5;10;1;3.39;0.56;9.8;5
8.1;0.55;0.18;1.9;0.08;13;35;1;3.3;0.59;9;6
8.3;0.61;0.3;2.1;0.08;11;50;1;3.4;0.61;10.2;6
7.8;0.5;0.3;1.9;0.08;8;22;1;3.31;0.56;10.4;6
8.1;0.55;0.18;1.9;0.08;13;35;1;3.3;0.59;9;6
8.1;0.58;0.22;2.1;0.08;12;65;1;3.29;0.51;9.2;5
7.2;0.49;0.24;2.2;0.07;5;36;1;3.33;0.48;9.4;5
8.1;0.58;0.22;2.1;0.08;12;65;1;3.29;0.51;9.2;5
7.8;0.41;0.68;1.7;0.47;18;69;1;3.08;1.31;9.3;5
6.2;0.63;0.31;1.7;0.09;15;64;1;3.46;0.79;9.3;5
8;0.33;0.53;2.5;0.09;18;80;1;3.37;0.8;9.6;6
8.1;0.79;0.52;2;0.12;37;153;1;3.21;0.69;9.3;5
7.8;0.56;0.19;1.8;0.1;12;47;1;3.19;0.93;9.5;5
8.4;0.62;0.09;2.2;0.08;11;108;1;3.15;0.66;9.8;5
8.4;0.6;0.1;2.2;0.09;14;111;1;3.15;0.66;9.8;5
10.1;0.31;0.44;2.3;0.08;22;46;1;3.32;0.67;9.7;6
7.8;0.56;0.19;1.8;0.1;12;47;1;3.19;0.93;9.5;5
9.4;0.4;0.31;2.2;0.09;13;62;1;3.07;0.63;10.5;6
8.3;0.54;0.28;1.9;0.08;11;40;1;3.39;0.61;10;6
7.8;0.56;0.12;2;0.08;7;28;1;3.37;0.5;9.4;6
8.8;0.55;0.04;2.2;0.12;14;56;1;3.21;0.6;10.9;6
7;0.69;0.08;1.8;0.1;22;89;1;3.34;0.54;9.2;6
7.3;1.07;0.09;1.7;0.18;10;89;1;3.3;0.57;9;5
8.8;0.55;0.04;2.2;0.12;14;56;1;3.21;0.6;10.9;6
7.3;0.7;0;2.5;0.08;3;13;1;3.49;0.52;9.2;5
8;0.71;0;2.6;0.08;11;34;1;3.44;0.53;9.5;5
7.8;0.5;0.17;1.6;0.08;21;102;1;3.39;0.48;9.5;5
9;0.62;0.04;1.9;0.15;27;90;1;3.16;0.7;9.4;5
8.2;1.33;0;1.7;0.08;3;12;1;3.53;0.49;10.9;5
8.1;1.33;0;1.8;0.08;3;12;1;3.54;0.48;10.9;5
8;0.59;0.16;1.8;0.07;3;16;1;3.42;0.92;10.5;7
6.1;0.38;0.15;1.8;0.07;6;19;1;3.42;0.57;9.4;5
8;0.75;0.56;2;0.12;30;134;1;3.24;0.66;9.4;5
5.6;0.5;0.09;2.3;0.05;17;99;0.99;3.63;0.63;13;5
5.6;0.5;0.09;2.3;0.05;17;99;0.99;3.63;0.63;13;5
6.6;0.5;0.01;1.5;0.06;17;26;1;3.4;0.58;9.8;6
7.9;1.04;0.05;2.2;0.08;13;29;1;3.22;0.55;9.9;6
8.4;0.75;0.11;1.9;0.09;16;63;1;3.19;0.82;9.6;5
8.3;0.72;0.15;1.8;0.09;10;52;1;3.23;0.77;9.5;5
7.2;0.42;0.36;2;0.08;13;45;1;3.48;0.64;9.2;5
7.8;0.56;0.19;2.1;0.08;15;105;1;3.33;0.54;9.5;5
7.8;0.56;0.19;2;0.08;17;108;1;3.32;0.54;9.5;5
8.4;0.75;0.11;1.9;0.09;16;63;1;3.19;0.82;9.6;5
8.3;0.72;0.15;1.8;0.09;10;52;1;3.23;0.77;9.5;5
5.2;0.34;0;1.8;0.05;27;63;0.99;3.68;0.79;14;6
6.3;0.39;0.08;1.7;0.07;3;20;1;3.34;0.58;9.4;5
5.2;0.34;0;1.8;0.05;27;63;0.99;3.68;0.79;14;6
8.1;0.67;0.55;1.8;0.12;32;141;1;3.17;0.62;9.4;5
5.8;0.68;0.02;1.8;0.09;21;94;0.99;3.54;0.52;10;5
7.6;0.49;0.26;1.6;0.24;10;88;1;3.11;0.8;9.3;5
6.9;0.49;0.1;2.3;0.07;12;30;1;3.42;0.58;10.2;6
8.2;0.4;0.44;2.8;0.09;11;43;1;3.53;0.61;10.5;6
7.3;0.33;0.47;2.1;0.08;5;11;1;3.33;0.53;10.3;6
9.2;0.52;1;3.4;0.61;32;69;1;2.74;2;9.4;4
7.5;0.6;0.03;1.8;0.1;25;99;1;3.35;0.54;10.1;5
7.5;0.6;0.03;1.8;0.1;25;99;1;3.35;0.54;10.1;5
7.1;0.43;0.42;5.5;0.07;29;129;1;3.42;0.72;10.5;5
7.1;0.43;0.42;5.5;0.07;28;128;1;3.42;0.71;10.5;5
7.1;0.43;0.42;5.5;0.07;29;129;1;3.42;0.72;10.5;5
7.1;0.43;0.42;5.5;0.07;28;128;1;3.42;0.71;10.5;5
7.1;0.68;0;2.2;0.07;12;22;1;3.48;0.5;9.3;5
6.8;0.6;0.18;1.9;0.08;18;86;1;3.59;0.57;9.3;6
7.6;0.95;0.03;2;0.09;7;20;1;3.2;0.56;9.6;5
7.6;0.68;0.02;1.3;0.07;9;20;1;3.17;1.08;9.2;4
7.8;0.53;0.04;1.7;0.08;17;31;1;3.33;0.56;10;6
7.4;0.6;0.26;7.3;0.07;36;121;1;3.37;0.49;9.4;5
7.3;0.59;0.26;7.2;0.07;35;121;1;3.37;0.49;9.4;5
7.8;0.63;0.48;1.7;0.1;14;96;1;3.19;0.62;9.5;5
6.8;0.64;0.1;2.1;0.09;18;101;1;3.34;0.52;10.2;5
7.3;0.55;0.03;1.6;0.07;17;42;1;3.37;0.48;9;4
6.8;0.63;0.07;2.1;0.09;11;44;1;3.47;0.55;10.4;6
7.5;0.71;0.24;1.8;0.36;15;63;1;3;1.59;9.5;5
7.9;0.89;0.03;1.8;0.06;4;8;1;3.36;0.33;9.1;4
8;0.42;0.17;2;0.07;6;18;1;3.29;0.61;9.2;6
8;0.42;0.17;2;0.07;6;18;1;3.29;0.61;9.2;6
7.4;0.62;0.05;1.9;0.07;24;42;1;3.42;0.57;11.5;6
7.3;0.38;0.21;2;0.08;7;35;1;3.33;0.47;9.5;5
6.9;0.5;0.04;1.5;0.09;19;49;1;3.35;0.78;9.5;5
7.3;0.38;0.21;2;0.08;7;35;1;3.33;0.47;9.5;5
7.5;0.52;0.42;2.3;0.09;8;38;1;3.58;0.61;10.5;6
7;0.81;0;2.5;0.07;7;20;1;3.48;0.56;9.6;5
8.8;0.61;0.14;2.4;0.07;10;42;1;3.19;0.59;9.5;5
8.8;0.61;0.14;2.4;0.07;10;42;1;3.19;0.59;9.5;5
8.9;0.61;0.49;2;0.27;23;110;1;3.12;1.02;9.3;5
7.2;0.73;0.02;2.5;0.08;16;42;1;3.44;0.52;9.3;5
6.8;0.61;0.2;1.8;0.08;11;65;1;3.54;0.58;9.3;5
6.7;0.62;0.21;1.9;0.08;8;62;1;3.52;0.58;9.3;6
8.9;0.31;0.57;2;0.11;26;85;1;3.26;0.53;9.7;5
7.4;0.39;0.48;2;0.08;14;67;1;3.34;0.55;9.2;5
7.7;0.71;0.1;2.6;0.08;9;26;1;3.39;0.49;9.7;5
7.9;0.5;0.33;2;0.08;15;143;1;3.2;0.55;9.5;5
7.9;0.49;0.32;1.9;0.08;17;144;1;3.2;0.55;9.5;5
8.2;0.5;0.35;2.9;0.08;21;127;1;3.23;0.62;9.4;5
6.4;0.37;0.25;1.9;0.07;21;49;1;3.57;0.62;9.8;6
6.8;0.63;0.12;3.8;0.1;16;126;1;3.28;0.61;9.5;5
7.6;0.55;0.21;2.2;0.07;7;28;1;3.28;0.55;9.7;5
7.6;0.55;0.21;2.2;0.07;7;28;1;3.28;0.55;9.7;5
7.8;0.59;0.33;2;0.07;24;120;1;3.25;0.54;9.4;5
7.3;0.58;0.3;2.4;0.07;15;55;1;3.46;0.59;10.2;5
11.5;0.3;0.6;2;0.07;12;27;1;3.11;0.97;10.1;6
5.4;0.84;0.08;1.2;0.05;13;93;0.99;3.57;0.85;13;7
6.9;1.09;0.06;2.1;0.06;12;31;0.99;3.51;0.43;11.4;4
9.6;0.32;0.47;1.4;0.06;9;24;1;3.22;0.82;10.3;7
8.8;0.37;0.48;2.1;0.1;39;145;1;3.04;1.03;9.3;5
6.8;0.5;0.11;1.5;0.08;16;49;1;3.36;0.79;9.5;5
7;0.42;0.35;1.6;0.09;16;39;1;3.34;0.55;9.2;5
7;0.43;0.36;1.6;0.09;14;37;1;3.34;0.56;9.2;6
12.8;0.3;0.74;2.6;0.1;9;28;1;3.2;0.77;10.8;7
12.8;0.3;0.74;2.6;0.1;9;28;1;3.2;0.77;10.8;7
7.8;0.57;0.31;1.8;0.07;26;120;1;3.29;0.53;9.3;5
7.8;0.44;0.28;2.7;0.1;18;95;1;3.22;0.67;9.4;5
11;0.3;0.58;2.1;0.05;7;19;1;3.31;0.88;10.5;7
9.7;0.53;0.6;2;0.04;5;19;1;3.3;0.86;12.4;6
8;0.73;0.24;2.8;0.08;10;62;1;3.35;0.56;10;6
11.6;0.44;0.64;2.1;0.06;5;15;1;3.21;0.67;10.2;6
8.2;0.57;0.26;2.2;0.06;28;65;1;3.3;0.43;10.1;5
7.8;0.74;0.08;2.4;0.09;10;41;1;3.24;0.71;9.8;6
7;0.49;0.49;5.6;0.06;26;121;1;3.34;0.76;10.5;5
8.7;0.63;0.16;2;0.1;13;49;1;3.14;0.57;11;5
8.1;0.73;0.22;2.2;0.07;11;41;1;3.36;0.55;9.1;5
7.5;0.49;0.19;1.9;0.08;10;44;1;3.39;0.54;9.7;5
7.8;0.53;0.33;2.4;0.08;24;144;1;3.3;0.6;9.5;5
7.8;0.34;0.37;2;0.08;24;58;1;3.34;0.59;9.4;6
7.4;0.53;0.26;2;0.1;16;72;1;3.15;0.57;9.4;5
6.8;0.61;0.04;1.5;0.06;5;10;1;3.42;0.6;9.5;5
8.6;0.65;0.25;2;0.08;8;28;1;3.28;0.6;10;6
8.4;0.64;0.36;2;0.09;15;55;1;3.31;0.57;10.4;4
7.7;0.43;0.25;2.6;0.07;29;63;1;3.37;0.58;10.5;6
8.9;0.59;0.5;2;0.34;27;81;1;3.04;1.61;9.5;6
9;0.82;0.14;2.6;0.09;9;23;1;3.39;0.63;9.8;5
7.7;0.43;0.25;2.6;0.07;29;63;1;3.37;0.58;10.5;6
6.9;0.52;0.25;2.6;0.08;10;37;1;3.46;0.5;11;5
5.2;0.48;0.04;1.6;0.05;19;106;0.99;3.54;0.62;12.2;7
8;0.38;0.06;1.8;0.08;12;49;1;3.37;0.52;9.9;6
8.5;0.37;0.2;2.8;0.09;18;58;1;3.34;0.7;9.6;6
6.9;0.52;0.25;2.6;0.08;10;37;1;3.46;0.5;11;5
8.2;1;0.09;2.3;0.07;7;37;1;3.32;0.55;9;6
7.2;0.63;0;1.9;0.1;14;38;1;3.37;0.58;9;6
7.2;0.63;0;1.9;0.1;14;38;1;3.37;0.58;9;6
7.2;0.65;0;1.9;0.1;15;39;1;3.37;0.58;9.2;6
7.2;0.63;0;1.9;0.1;14;38;1;3.37;0.58;9;6
8.2;1;0.09;2.3;0.07;7;37;1;3.32;0.55;9;6
8.9;0.64;0.37;1.7;0.26;5;62;1;3;1.09;9.3;5
12;0.38;0.56;2.1;0.09;6;24;1;3.14;0.71;10.9;6
7.7;0.58;0.1;1.8;0.1;28;109;1;3.08;0.49;9.8;6
15;0.21;0.44;2.2;0.08;10;24;1;3.07;0.84;9.2;7
15;0.21;0.44;2.2;0.08;10;24;1;3.07;0.84;9.2;7
7.3;0.66;0;2;0.08;6;23;1;3.61;0.96;9.9;6
7.1;0.68;0.07;1.9;0.08;16;51;1;3.38;0.52;9.5;5
8.2;0.6;0.17;2.3;0.07;11;73;1;3.2;0.45;9.3;5
7.7;0.53;0.06;1.7;0.07;9;39;1;3.35;0.48;9.8;6
7.3;0.66;0;2;0.08;6;23;1;3.61;0.96;9.9;6
10.8;0.32;0.44;1.6;0.06;16;37;1;3.22;0.78;10;6
7.1;0.6;0;1.8;0.07;16;34;1;3.47;0.7;9.9;6
11.1;0.35;0.48;3.1;0.09;5;21;1;3.17;0.53;10.5;5
7.7;0.78;0.42;1.9;0.09;8;86;1;3.23;0.59;9.5;5
7.1;0.6;0;1.8;0.07;16;34;1;3.47;0.7;9.9;6
8;0.57;0.23;3.2;0.07;17;119;1;3.26;0.57;9.3;5
9.4;0.34;0.37;2.2;0.08;5;13;1;3.22;0.62;9.2;5
6.6;0.7;0;2.1;0.08;12;56;1;3.49;0.67;9.2;5
7.7;0.41;0.76;1.8;0.61;8;45;1;3.06;1.26;9.4;5
10;0.31;0.47;2.6;0.09;14;33;1;3.36;0.8;10.5;7
7.9;0.33;0.23;1.7;0.08;18;45;1;3.29;0.65;9.3;5
7;0.98;0.04;2;0.09;12;67;1;3.35;0.6;9.4;4
8;0.52;0.03;1.7;0.07;10;35;1;3.34;0.57;10;5
7.9;0.37;0.23;1.8;0.08;23;49;1;3.28;0.67;9.3;5
12.5;0.56;0.49;2.4;0.06;5;27;1;3.08;0.87;10.9;5
11.8;0.26;0.52;1.8;0.07;6;10;1;3.2;0.72;10.2;7
8.1;0.87;0;3.3;0.1;26;61;1;3.6;0.72;9.8;4
7.9;0.35;0.46;3.6;0.08;15;37;1;3.35;0.86;12.8;8
6.9;0.54;0.04;3;0.08;7;27;1;3.69;0.91;9.4;6
11.5;0.18;0.51;4;0.1;4;23;1;3.28;0.97;10.1;6
7.9;0.55;0.06;4;0.09;27;61;1;3.36;0.67;10.7;6
11.5;0.18;0.51;4;0.1;4;23;1;3.28;0.97;10.1;6
10.9;0.37;0.58;4;0.07;17;65;1;3.22;0.78;10.1;5
8.4;0.72;0.2;2.4;0.08;10;38;1;3.31;0.64;9.4;5
7.5;0.65;0.18;7;0.09;27;94;1;3.38;0.77;9.4;5
7.9;0.55;0.06;4;0.09;27;61;1;3.36;0.67;10.7;6
6.9;0.54;0.04;3;0.08;7;27;1;3.69;0.91;9.4;6
11.5;0.18;0.51;4;0.1;4;23;1;3.28;0.97;10.1;6
10.3;0.32;0.45;6.4;0.07;5;13;1;3.23;0.82;12.6;8
8.9;0.4;0.32;5.6;0.09;10;47;1;3.38;0.77;10.5;7
11.4;0.26;0.44;3.6;0.07;6;19;1;3.12;0.82;9.3;6
7.7;0.27;0.68;3.5;0.36;5;10;1;3.25;1.08;9.9;7
7.6;0.52;0.12;3;0.07;12;53;1;3.36;0.57;9.1;5
8.9;0.4;0.32;5.6;0.09;10;47;1;3.38;0.77;10.5;7
9.9;0.59;0.07;3.4;0.1;32;71;1;3.31;0.71;9.8;5
9.9;0.59;0.07;3.4;0.1;32;71;1;3.31;0.71;9.8;5
12;0.45;0.55;2;0.07;25;49;1;3.1;0.76;10.3;6
7.5;0.4;0.12;3;0.09;29;53;1;3.37;0.7;10.3;6
8.7;0.52;0.09;2.5;0.09;20;49;1;3.34;0.86;10.6;7
11.6;0.42;0.53;3.3;0.11;33;98;1;3.2;0.95;9.2;5
8.7;0.52;0.09;2.5;0.09;20;49;1;3.34;0.86;10.6;7
11;0.2;0.48;2;0.34;6;18;1;3.3;0.71;10.5;5
10.4;0.55;0.23;2.7;0.09;18;48;1;3.22;0.64;10.3;6
6.9;0.36;0.25;2.4;0.1;5;16;1;3.41;0.6;10.1;6
13.3;0.34;0.52;3.2;0.09;17;53;1;3.05;0.81;9.5;6
10.8;0.5;0.46;2.5;0.07;5;27;1;3.05;0.64;9.5;5
10.6;0.83;0.37;2.6;0.09;26;70;1;3.16;0.52;9.9;5
7.1;0.63;0.06;2;0.08;8;29;1;3.67;0.73;9.6;5
7.2;0.65;0.02;2.3;0.09;5;31;1;3.67;0.8;9.7;5
6.9;0.67;0.06;2.1;0.08;8;33;1;3.68;0.71;9.6;5
7.5;0.53;0.06;2.6;0.09;20;44;1;3.38;0.59;10.7;6
11.1;0.18;0.48;1.5;0.07;7;15;1;3.22;0.64;10.1;6
8.3;0.71;0.12;2.6;0.09;12;28;1;3.51;0.72;10;5
7.4;0.67;0.12;1.6;0.19;5;21;1;3.39;0.54;9.5;5
8.4;0.65;0.6;2.1;0.11;12;90;1;3.2;0.52;9.2;5
10.3;0.53;0.48;2.5;0.06;6;25;1;3.12;0.59;9.3;6
7.6;0.62;0.32;2.2;0.08;7;54;1;3.36;0.52;9.4;5
10.3;0.41;0.42;2.4;0.21;6;14;1;3.19;0.62;9.5;6
10.3;0.43;0.44;2.4;0.21;5;12;1;3.19;0.63;9.5;6
7.4;0.29;0.38;1.7;0.06;9;30;1;3.41;0.53;9.5;6
10.3;0.53;0.48;2.5;0.06;6;25;1;3.12;0.59;9.3;6
7.9;0.53;0.24;2;0.07;15;105;1;3.27;0.54;9.4;6
9;0.46;0.31;2.8;0.09;19;98;1;3.32;0.63;9.5;6
8.6;0.47;0.3;3;0.08;30;135;1;3.3;0.53;9.4;5
7.4;0.36;0.29;2.6;0.09;26;72;1;3.39;0.68;11;5
7.1;0.35;0.29;2.5;0.1;20;53;1;3.42;0.65;11;6
9.6;0.56;0.23;3.4;0.1;37;92;1;3.3;0.65;10.1;5
9.6;0.77;0.12;2.9;0.08;30;74;1;3.3;0.64;10.4;6
9.8;0.66;0.39;3.2;0.08;21;59;1;3.37;0.71;11.5;7
9.6;0.77;0.12;2.9;0.08;30;74;1;3.3;0.64;10.4;6
9.8;0.66;0.39;3.2;0.08;21;59;1;3.37;0.71;11.5;7
